2019-06-07 00:51:35,1136797820218777600,"{'name': 'Itzel Macias', 'location': ''}","[{'text': 'LaTrakalosadeMty', 'indices': [36, 53]}, {'text': 'MagiaTour', 'indices': [69, 79]}, {'text': 'TodosSomosTrakalosa', 'indices': [117, 137]}, {'text': 'UniónDeClubsELYLTDM', 'indices': [138, 158]}]",[],[],0,"b';Ma\xc3\xb1ana0\xe2\x83\xa37\xe2\x83\xa3 de Junio, @edwinlunat y #LaTrakalosadeMty presentando su #MagiaTour \xe2\x9c\xa8\xf0\x9f\x94\xae en \xf0\x9f\x93\x8dPuerto Barrios, Guatemala \xf0\x9f\x87\xac\xf0\x9f\x87\xb9 \n#TodosSomosTrakalosa #Uni\xc3\xb3nDeClubsELYLTDM https://t.co/MfTzWRupbG'"
2019-06-07 00:51:26,1136797780322611200,"{'name': 'Camila Tessan', 'location': 'Mexico'}",[],[],[],21,"b'RT @elOrdenMundial: Pa\xc3\xadses en los que menos han crecido los salarios en Am\xc3\xa9rica desde 2008:\n\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2Jamaica (-4,1%)\n\xf0\x9f\x87\xb9\xf0\x9f\x87\xb9Trinidad y Tobago (-1,9%)\xe2\x80\xa6'"
2019-06-07 00:51:22,1136797766791847939,"{'name': 'Oscar Rivas', 'location': 'Falls Church'}",[],[],[],291,b'RT @javierreyes_41: Pasando el control de aduana en Guatemala al entregar el pasaporte me miraron y me dijeron como quisiera tener su pasap\xe2\x80\xa6'
2019-06-07 00:51:09,1136797709757800449,"{'name': 'A Puro Pedal', 'location': 'Colombia'}",[],[],[],0,b'Katerin Montoya @ktsteisy @AvinalGw @Ligaciclismoant nueva l\xc3\xadder de las metas volantes en la Vuelta a Guatemala https://t.co/VBKm3zXfq7'
2019-06-07 00:51:01,1136797675372785664,"{'name': 'carlos', 'location': ''}","[{'text': 'GuardiaNacional', 'indices': [90, 106]}]",[],[],23,b'RT @Pajaropolitico: El @GobiernoMX habr\xc3\xada ofrecido el despliegue de 6 mil elementos de la #GuardiaNacional en la frontera con Guatemala par\xe2\x80\xa6'
2019-06-07 00:50:58,1136797666107482112,"{'name': 'Pablo Rosario Frias', 'location': 'Dominican Republic'}",[],[],[],6,"b'RT @DMRedesOficial: Danilo Medina, presidente de la Rep\xc3\xbablica Dominicana, participa en desayuno ofrecido por Jimmy Morales, presidente de G\xe2\x80\xa6'"
2019-06-07 00:50:58,1136797663041449984,"{'name': 'Arturo Madrid', 'location': ''}",[],[],[],0,"b'@julioastillero @carolina_rocha_ @lopezobrador_ @RadioCentro977 EU ya estaba en pl\xc3\xa1ticas para mandar militares a la frontera de Guatemala, acaso no es mejor que nos hagamos responsables de verificar que todo aquel que quiera pasar a M\xc3\xa9xico lo haga de forma legal?\nQue atendamos urgente la inseguridad?\nO, prefieren que EU intervenga en el sur?'"
2019-06-07 00:50:56,1136797657609822217,"{'name': 'Ruben Estrada Hater #777', 'location': 'Guatemala'}",[],[],[],19,b'RT @jestcordova: Hoy la candidata a diputada @ligiaiveth26 del partido @msemillagt anunci\xc3\xb3 en un foro que reactivar\xc3\xa1 la iniciativa de ley 5\xe2\x80\xa6'
2019-06-07 00:50:56,1136797654698958849,"{'name': 'Alba Marchi', 'location': ''}","[{'text': 'GrupoDeLima', 'indices': [40, 52]}]",[],[],621,b'RT @JulioBorges: Terminamos reuni\xc3\xb3n del #GrupoDeLima en Guatemala con un compromiso firme de los pa\xc3\xadses de tomar acciones contra familiares\xe2\x80\xa6'
2019-06-07 00:50:55,1136797650013974528,"{'name': 'UNICEF Guatemala', 'location': 'Guatemala'}",[],[],"[{'url': 'https://t.co/sTMlaIMLSO', 'expanded_url': 'http://partidoxlainfancia.gt', 'display_url': 'partidoxlainfancia.gt', 'indices': [31, 54]}]",1,b'RT @MarvinLunaGt: Unidos ya en https://t.co/sTMlaIMLSO gracias a @tedxgt @unicefguatemala'
2019-06-07 00:50:52,1136797640211877893,"{'name': 'Mauricio Turbay H.', 'location': 'Guayaquil, Ecuador'}",[],[],[],10,"b'RT @DeporteEc: Lucia Y\xc3\xa9pez, gan\xc3\xb3 medalla de oro en la final en los 50kg ante su similar de Estados Unidos, en el Campeonato Panamericano Ju\xe2\x80\xa6'"
